ID,Dispositivo,Marca,Modelo,Tipo,Componente_Fallido,Error_Especifico,Diagnostico,Severidad,Solucion_Recomendada,Estado,Costo_Estimado_USD,Tiempo_Reparacion_Horas
1,Laptop,Acer,Predator Helios 16,Económica,Pantalla,"Pantalla táctil con calibración desviada, toques imprecisos","Fallo en sistema de visualización. Pantalla táctil con calibración desviada, toques imprecisos. Verificar cable flex y controlador de backlight.",Baja,Calibrar pantalla y actualizar driver de vídeo. Ajustar perfil de color.,Reparable,313.05,2.9
2,Laptop,Huawei,MateBook X Pro,2 en 1,RAM,Error MEMORY_READ_EXCEPTION en tareas pesadas,Diagnóstico general: Error MEMORY_READ_EXCEPTION en tareas pesadas. Se requiere revisión técnica especializada.,Alta,Reemplazar módulo RAM dañado. Probar con módulo nuevo en slot afectado.,Reparable,119.96,8.4
3,Laptop,ASUS,VivoBook 15,Económica,Puertos,"Puerto de audio con estática, jack dañado","Problema de sonido. Puerto de audio con estática, jack dañado. Probar con auriculares para descartar altavoces.",Baja,Usar puerto alternativo. Monitorear funcionamiento del puerto afectado.,En diagnóstico,155.06,1.7
4,Laptop,Apple,MacBook Pro 13 M2,Gaming,Disco Duro/SSD,"Sistema no arranca, sector de arranque dañado en disco","Diagnóstico general: Sistema no arranca, sector de arranque dañado en disco. Se requiere revisión técnica especializada.",Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,Reparable,99.97,8.0
5,Laptop,ASUS,ROG Strix G16,Workstation,Teclado,"Teclado retroiluminado no enciende, LED defectuoso","Teclado dañado. Teclado retroiluminado no enciende, LED defectuoso. Si es por líquido, evaluar limpieza ultrasonido o reemplazo.",Media,Limpiar contacto de teclas afectadas. Verificar flex de conexión.,Garantía vigente,133.03,7.0
6,Tablet,Apple,iPad Pro 11 M2,Gaming,BIOS,Error de checksum en BIOS al arrancar,Fallo en firmware BIOS. Error de checksum en BIOS al arrancar. Se recomienda reemplazo de chip BIOS.,Media,Reset de CMOS y reconfiguración de BIOS. Actualizar a última versión estable.,Garantía vigente,143.72,6.2
7,Laptop,Toshiba,Satellite Pro R50,2 en 1,Batería,Error de comunicación entre batería y ACPI,Fallo en sistema de alimentación por batería. Error de comunicación entre batería y ACPI. Reemplazo de batería necesario.,Alta,Reemplazar batería con original de fabricante. No usar baterías genéricas.,Requiere reemplazo de componente,142.3,5.3
8,Tablet,Samsung,Galaxy Tab S9 FE,2 en 1,Pantalla,"Flex de pantalla dañado, imagen intermitente","Problema de display detectado. Flex de pantalla dañado, imagen intermitente. Evaluar reemplazo de panel o componentes asociados.",Baja,Calibrar pantalla y actualizar driver de vídeo. Ajustar perfil de color.,En diagnóstico,269.93,0.8
9,Tablet,Huawei,MatePad T10,Estándar,Puertos,"Múltiples puertos USB no funcionan, hub interno dañado","Diagnóstico: Puerto defectuoso. Múltiples puertos USB no funcionan, hub interno dañado. Inspeccionar pines y soldaduras con lupa.",Baja,Usar puerto alternativo. Monitorear funcionamiento del puerto afectado.,Garantía vigente,160.53,1.3
10,Laptop,Dell,Alienware m16,Económica,GPU,"Error CODE 43 en GPU, Windows deshabilitó el dispositivo","Fallo en procesador gráfico. Error CODE 43 en GPU, Windows deshabilitó el dispositivo. Verificar temperatura y reflow si es BGA.",Media,Reinstalar drivers con DDU. Verificar temperatura y ventilación de GPU.,Garantía vigente,526.71,3.5
11,Laptop,Samsung,Galaxy Book Go,2 en 1,Pantalla,"Pantalla con imagen residual, burn-in en panel OLED","Display con defecto. Pantalla con imagen residual, burn-in en panel OLED. Reemplazo de panel recomendado si costo es viable.",Media,Reemplazar cable flex o inverter. Verificar conexión al motherboard.,Reparable,327.99,5.9
12,Tablet,Xiaomi,Pad 6 Pro,Económica,BIOS,"Actualización de BIOS fallida, sistema no arranca","Problema de configuración BIOS. Actualización de BIOS fallida, sistema no arranca. Solución: Reset de configuración y actualización de firmware.",Baja,Actualizar BIOS a la última versión disponible. Reemplazar batería CMOS si es necesario.,En diagnóstico,68.88,2.5
13,Tablet,Huawei,MatePad Paper,Estándar,Disco Duro/SSD,"SSD con error de sobretemperatura, throttle de escritura","Diagnóstico general: SSD con error de sobretemperatura, throttle de escritura. Se requiere revisión técnica especializada.",Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,Garantía vigente,128.89,7.4
14,Laptop,Dell,Precision 5680,Premium,Puertos,"Puerto HDMI no da señal de video, pin dañado","Diagnóstico general: Puerto HDMI no da señal de video, pin dañado. Se requiere revisión técnica especializada.",Baja,Usar puerto alternativo. Monitorear funcionamiento del puerto afectado.,En diagnóstico,96.32,3.1
15,Computadora,Dell,G5 Gaming Desktop,Mini PC,Batería,Batería no detectada por el sistema operativo,Batería degradada. Batería no detectada por el sistema operativo. Verificar con diagnóstico de fabricante.,Crítica,Retirar batería inmediatamente por seguridad (inflamación). Usar solo con cargador.,Fuera de servicio,104.02,8.8
16,Computadora,ASUS,ROG Strix G10,All-in-One,GPU,"Error CODE 43 en GPU, Windows deshabilitó el dispositivo","Diagnóstico: Tarjeta gráfica defectuosa. Error CODE 43 en GPU, Windows deshabilitó el dispositivo. Testear con FurMark para reproducir fallo.",Alta,Reflow o reball de GPU. Reemplazar pasta térmica. Verificar alimentación.,En diagnóstico,319.24,4.7
17,Laptop,Huawei,MateBook X Pro,Gaming,BIOS,Temperatura CPU no reportada correctamente por BIOS,Problema de configuración BIOS. Temperatura CPU no reportada correctamente por BIOS. Solución: Reset de configuración y actualización de firmware.,Baja,Actualizar BIOS a la última versión disponible. Reemplazar batería CMOS si es necesario.,En diagnóstico,67.23,3.6
18,Laptop,ASUS,ZenBook Pro 16,Gaming,Motherboard,BIOS chip dañado físicamente en la motherboard,Fallo en firmware BIOS. BIOS chip dañado físicamente en la motherboard. Se recomienda reemplazo de chip BIOS.,Crítica,Reemplazo de placa madre. Evaluar costo vs equipo nuevo. Rescatar componentes reutilizables.,En diagnóstico,162.85,20.8
19,Tablet,Lenovo,Tab P11 Pro,Estándar,Batería,Batería no suministra energía suficiente bajo carga,Fallo en sistema de alimentación por batería. Batería no suministra energía suficiente bajo carga. Reemplazo de batería necesario.,Alta,Reemplazar batería con original de fabricante. No usar baterías genéricas.,En diagnóstico,75.91,23.9
20,Computadora,Apple,iMac 24 M3,SFF,Batería,"Batería no carga, indica 0% permanentemente","Batería degradada. Batería no carga, indica 0% permanentemente. Verificar con diagnóstico de fabricante.",Alta,Reemplazar batería con original de fabricante. No usar baterías genéricas.,Requiere reemplazo de componente,30.94,11.1
21,Computadora,Apple,Mac Studio M2 Max,SFF,Teclado,"Tecla se queda presionada, contacto pegajoso","Diagnóstico general: Tecla se queda presionada, contacto pegajoso. Se requiere revisión técnica especializada.",Media,Limpiar contacto de teclas afectadas. Verificar flex de conexión.,Garantía vigente,138.05,5.4
22,Computadora,Apple,Mac Studio M2 Max,Torre,BIOS,BIOS legacy no soporta arranque UEFI,Se requiere flashear la BIOS para restaurar funcionalidad. BIOS legacy no soporta arranque UEFI,Crítica,"Retroflash de BIOS con programador externo SPI. Si no es posible, reemplazo de placa madre.",En diagnóstico,149.99,37.1
23,Tablet,Apple,iPad Air M2,Profesional,Motherboard,"Puerto de carga dañado, motherboard no recibe energía","Fallo en placa madre. Puerto de carga dañado, motherboard no recibe energía. Evaluar viabilidad de reparación vs reemplazo.",Baja,Limpieza profunda y rethermal. Verificar conexiones y reseat de componentes.,Reparable,127.69,0.5
24,Laptop,Toshiba,Satellite Pro R50,2 en 1,RAM,Memoria insufficient al abrir aplicaciones pesadas,Diagnóstico general: Memoria insufficient al abrir aplicaciones pesadas. Se requiere revisión técnica especializada.,Media,Limpiar contactos con alcohol isopropílico. Reubicar módulos en slots diferentes.,Reparable,71.06,2.6
25,Computadora,Acer,Veriton X2680G,SFF,Audio,"Micrófono no funciona, jack de audio dañado","Fallo en sistema de audio. Micrófono no funciona, jack de audio dañado. Verificar controlador y hardware.",Media,Limpiar jack de audio. Verificar configuración de dispositivos de sonido.,Garantía vigente,112.78,1.8
26,Computadora,MSI,Aegis RS 13th,Mini PC,Pantalla,"Pantalla con color amarillento, perfil de color corrupto","Problema de display detectado. Pantalla con color amarillento, perfil de color corrupto. Evaluar reemplazo de panel o componentes asociados.",Media,Reemplazar cable flex o inverter. Verificar conexión al motherboard.,Garantía vigente,61.16,4.5
27,Computadora,Lenovo,IdeaCentre AIO 3,Micro,Disco Duro/SSD,SMART warning: Reallocated Sector Count excedido,Diagnóstico general: SMART warning: Reallocated Sector Count excedido. Se requiere revisión técnica especializada.,Baja,Ejecutar optimización de disco. Liberar espacio en SSD para mejorar rendimiento.,Reparable,163.13,3.8
28,Computadora,Dell,Vostro 3710,All-in-One,Motherboard,"Keyboard controller dañado, teclado no responde","Diagnóstico: Teclado defectuoso. Keyboard controller dañado, teclado no responde. Reemplazo del conjunto recomendado.",Alta,Reparación especializada de microsoldadura. Reemplazar componentes SMD dañados.,Requiere reemplazo de componente,459.96,17.8
29,Computadora,Lenovo,ThinkCentre M70q,Torre,Disco Duro/SSD,Disco con Bad Blocks en zona crítica del sistema,Diagnóstico general: Disco con Bad Blocks en zona crítica del sistema. Se requiere revisión técnica especializada.,Alta,Respaldar datos y reemplazar disco. Ejecutar recuperación con herramientas especializadas.,En diagnóstico,134.08,9.4
30,Computadora,Apple,Mac mini M2,Gaming,Motherboard,"Motherboard no reconoce batería, circuito de carga roto","Motherboard con daño eléctrico. Motherboard no reconoce batería, circuito de carga roto. Inspeccionar con microscopio y multímetro.",Baja,Limpieza profunda y rethermal. Verificar conexiones y reseat de componentes.,Reparable,227.74,3.6
31,Computadora,ASUS,ROG Strix G35,Micro,Teclado,Tecla espacio no responde en zona central,Diagnóstico general: Tecla espacio no responde en zona central. Se requiere revisión técnica especializada.,Alta,Reemplazar teclado completo. Verificar si hay daño adicional por líquido.,Requiere reemplazo de componente,80.47,15.1
32,Laptop,Huawei,MateBook X Pro,Workstation,BIOS,"BIOS muestra pantalla de error al iniciar, sector de arranque dañado","Fallo en firmware BIOS. BIOS muestra pantalla de error al iniciar, sector de arranque dañado. Se recomienda reemplazo de chip BIOS.",Alta,Flashear BIOS desde USB con método de recuperación del fabricante. Verificar versión actual.,Reparable,118.53,21.6
33,Computadora,Lenovo,ThinkStation P350,Micro,Motherboard,BIOS chip dañado físicamente en la motherboard,Problema de configuración BIOS. BIOS chip dañado físicamente en la motherboard. Solución: Reset de configuración y actualización de firmware.,Baja,Limpieza profunda y rethermal. Verificar conexiones y reseat de componentes.,Garantía vigente,255.89,1.6
34,Laptop,MSI,Katana 15,Económica,Ventilación,"Sistema se apaga por protección térmica, ventilación insuficiente","Diagnóstico: Sobrecalentamiento. Sistema se apaga por protección térmica, ventilación insuficiente. Verificar ventilador y reemplazar si es necesario.",Baja,Limpieza preventiva y monitoreo de temperaturas. Ajustar curva de ventilador.,Reparable,54.52,2.0
35,Computadora,ASUS,ProArt Station PD5,SFF,Teclado,"Tecla Enter no funciona, membrana dañada","Diagnóstico general: Tecla Enter no funciona, membrana dañada. Se requiere revisión técnica especializada.",Baja,Limpiar tecla específica o reemplazar keycap. Verificar configuración de idioma.,Reparable,70.22,1.2
36,Laptop,Samsung,Galaxy Book2 Pro,Workstation,Batería,"Laptop se apaga al desconectar el cargador, batería muerta","Fallo en sistema de alimentación por batería. Laptop se apaga al desconectar el cargador, batería muerta. Reemplazo de batería necesario.",Crítica,Retirar batería inmediatamente por seguridad (inflamación). Usar solo con cargador.,Requiere reemplazo de componente,83.85,48.0
37,Laptop,MSI,Raider GE78,Ultrabook,Ventilación,"Heat pipe dañado, calor no se disipa correctamente","Diagnóstico general: Heat pipe dañado, calor no se disipa correctamente. Se requiere revisión técnica especializada.",Alta,Limpiar obstrucciones y reaplicar pasta térmica. Verificar heat pipes.,Requiere reemplazo de componente,61.62,21.4
38,Laptop,ASUS,ROG Strix G16,Ultrabook,Puertos,"Puerto HDMI no da señal de video, pin dañado","Diagnóstico general: Puerto HDMI no da señal de video, pin dañado. Se requiere revisión técnica especializada.",Crítica,Reemplazo de placa de puertos o motherboard. Daño irreparable en múltiples puertos.,Requiere reemplazo de componente,102.35,26.0
39,Laptop,Samsung,Galaxy Book2 360,Empresarial,Motherboard,"Puertos USB traseros no funcionan, controlador I/O dañado","Puerto de E/S dañado. Puertos USB traseros no funcionan, controlador I/O dañado. Evaluar reparación o uso de adaptadores alternativos.",Baja,Limpieza profunda y rethermal. Verificar conexiones y reseat de componentes.,Reparable,287.64,1.9
40,Laptop,Dell,Inspiron 16 5000,Workstation,Disco Duro/SSD,"SSD no detectado en BIOS, controlador NVMe dañado","Error de inicialización de BIOS detectado. SSD no detectado en BIOS, controlador NVMe dañado. Verificar batería CMOS y versión de firmware.",Crítica,Clonar disco inmediatamente si es posible. Reemplazo urgente de unidad. Recuperación de datos profesional.,Fuera de servicio,218.69,22.8
41,Tablet,ASUS,Chromebook Detachable CZ1,Estándar,Ventilación,"Ventilador siempre al 100%, sensor de temperatura defectuoso","Diagnóstico general: Ventilador siempre al 100%, sensor de temperatura defectuoso. Se requiere revisión técnica especializada.",Media,Limpieza de polvo con aire comprimido. Verificar RPM del ventilador.,Reparable,48.77,2.5
42,Laptop,Apple,MacBook Air M3,Económica,Ventilación,"Ventilador hace ruido excesivo, rodamiento dañado","Diagnóstico general: Ventilador hace ruido excesivo, rodamiento dañado. Se requiere revisión técnica especializada.",Baja,Limpieza preventiva y monitoreo de temperaturas. Ajustar curva de ventilador.,En diagnóstico,78.96,0.8
43,Laptop,ASUS,ExpertBook B5,Chromebook,GPU,"Error CODE 43 en GPU, Windows deshabilitó el dispositivo","Problema de vídeo por GPU. Error CODE 43 en GPU, Windows deshabilitó el dispositivo. Verificar alimentación PCIe y conectores de poder.",Alta,Reflow o reball de GPU. Reemplazar pasta térmica. Verificar alimentación.,En diagnóstico,484.94,3.1
44,Computadora,MSI,Modern AM241,Workstation,RAM,"Beep code 2 pitidos, error de parity check en RAM","Fallo de memoria detectado. Beep code 2 pitidos, error de parity check en RAM. Se recomienda reemplazar módulo defectuoso.",Media,Limpiar contactos con alcohol isopropílico. Reubicar módulos en slots diferentes.,En diagnóstico,84.68,6.8
45,Laptop,Dell,Latitude 5540,Premium,Disco Duro/SSD,"Disco se desconecta aleatoriamente, cable SATA defectuoso","Diagnóstico general: Disco se desconecta aleatoriamente, cable SATA defectuoso. Se requiere revisión técnica especializada.",Crítica,Clonar disco inmediatamente si es posible. Reemplazo urgente de unidad. Recuperación de datos profesional.,En diagnóstico,40.3,5.5
46,Tablet,Xiaomi,Pad 5,2 en 1,RAM,Sistema operativo reporta memoria reservada excesiva,Diagnóstico general: Sistema operativo reporta memoria reservada excesiva. Se requiere revisión técnica especializada.,Baja,Ejecutar diagnóstico de memoria extendido. Monitorear en próximos días.,Garantía vigente,100.49,0.7
47,Computadora,Dell,Alienware Aurora R16,Torre,GPU,"GPU con throttling térmico severo, rendimiento reducido","GPU con errores. GPU con throttling térmico severo, rendimiento reducido. Probar con drivers limpios usando DDU.",Crítica,"Reemplazo de GPU dedicada. Si es integrada, reemplazo de motherboard.",Requiere reemplazo de componente,590.27,13.4
48,Tablet,Samsung,Galaxy Tab S9 Ultra,Educacional,Disco Duro/SSD,"SSD con error de sobretemperatura, throttle de escritura","Diagnóstico general: SSD con error de sobretemperatura, throttle de escritura. Se requiere revisión técnica especializada.",Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,Reparable,46.0,2.8
49,Tablet,Amazon,Fire 7,Económica,Ventilación,"Ventilador siempre al 100%, sensor de temperatura defectuoso","Diagnóstico general: Ventilador siempre al 100%, sensor de temperatura defectuoso. Se requiere revisión técnica especializada.",Alta,Limpiar obstrucciones y reaplicar pasta térmica. Verificar heat pipes.,Reparable,44.98,11.2
50,Laptop,Apple,MacBook Air M2,Chromebook,Pantalla,"Pantalla con manchas oscuras, daño por presión","Display con defecto. Pantalla con manchas oscuras, daño por presión. Reemplazo de panel recomendado si costo es viable.",Alta,Reemplazar panel o componente de backlight. Cotizar reparación vs equipo nuevo.,Requiere reemplazo de componente,205.81,17.8
51,Laptop,Lenovo,IdeaPad 5 Pro,Empresarial,Disco Duro/SSD,"SSD M.2 no hace contacto, slot dañado","Diagnóstico general: SSD M.2 no hace contacto, slot dañado. Se requiere revisión técnica especializada.",Baja,Ejecutar optimización de disco. Liberar espacio en SSD para mejorar rendimiento.,Reparable,94.81,1.4
